NAME	DESCRIPTION	LINK
Line Probe Assay	PCR amplification of a genomic region is performed using biotinylated primers. Following amplification, labelled PCR products are hybridized with specific oligonucleotide probes immobilized on a strip.	http://purl.obolibrary.org/obo/OBI_0000892
Liquid Chromatography	Chromatography is the collective term for a family of laboratory techniques for the separation of mixtures. It involves passing a mixture which contains the analyte through a stationary phase, which separates it from other molecules in the mixture and allows it to be isolated.	http://purl.obolibrary.org/obo/OBI_0001057
Luminex xMAP	Microsphere based multiplexing system. Microspheres are color coded and linked to a detector or capture reagent (e.g. antibody, oligonucleotides, peptides, or receptors).	http://purl.obolibrary.org/obo/OBI_0000920
Mass Spectrometry	Mass spectrometry is an analytical technique used to measure the mass-to-charge ratio of ions.	http://purl.obolibrary.org/obo/OBI_0000470
Meso Scale Discovery ECL	MSD Electrochemiluminescence (ECL) detection uses labels that emit light when electrochemically stimulated.	http://en.wikipedia.org/wiki/Electrochemiluminescence
Microscopy	Visualization of very small entities from cellular to sub-cellular and molecular resolution depending on technique.	http://purl.obolibrary.org/obo/OBI_0002119
Mixed Lymphocyte Reaction	Mixed lymphocyte reaction test is a measure of histocompatibility at the HLA locus. Peripheral blood lymphocytes from two individuals are mixed together in tissue culture for several days; lymphocytes from incompatible individuals will stimulate each other to proliferate significantly (e.g. measured by tritiated thymidine uptake) whereas those from compatible individuals will not; in the one\-way MLC test, the lymphocytes from one of the individuals are inactivated thereby allowing only the untreated remaining population of cells to proliferate in response to foreign histocompatibility antigens.	http://purl.obolibrary.org/obo/OBI_0002120
Molecular Cloning	Molecular cloning refers to the procedure isolating a DNA sequence of interest and obtaining multiple copies of it in an organism.	http://purl.obolibrary.org/obo/OBI_0600064
NMR	Nuclear Magnetic Resonance spectroscopy is a technique for determining the structure of organic compounds.	http://purl.obolibrary.org/obo/OBI_0000623
Nanostring	An assay that uses barcoded hybridization probes to quantify the expression of RNA transcripts by Nanostring technology which uses molecular "barcodes" and single molecule imaging to detect and count hundreds of unique transcripts in a single reaction.	http://www.bioassayontology.org/bao#BAO_0010047
Neutralizing Antibody Titer Assay	A quantitative assay where different dilutions of serum are mixed with virus and used to infect cells. At the lower dilutions, antibodies will block infection, but at higher dilutions, there will be too few antibodies to have an effect. The simple process of dilution provides a way to compare the virus- neutralizing abilities of different sera. The neutralization titer is expressed as the reciprocal of the highest dilution at which virus infection is blocked.	http://purl.obolibrary.org/obo/OBI_0000872
Northern Blot	Northern blots are a derivative of Southern blots where RNA that has been size fractionated (often by 1-D gel electrophoresis) is immobilized on a substrate (e.g. a charged nylon membrane). The blot is(are) hybridized with a labeled probe(s). The position on the blot and the intensity of the label's signal can be used to estimate RNA size and concentration, respectively.	http://purl.obolibrary.org/obo/OBI_0000860
Other	Other Experiment Measurement Technique not listed.	
PCR	Polymerase Chain Reaction is a technique to amplify a DNA template.	http://purl.obolibrary.org/obo/OBI_0000415
Q-PCR	Quantitative Polymerase Chain Reaction is used to measure the gene expression of transcripts by comparing the number of cycles in a sample needed to reach a certain threshold value with the known quantities of a transcript needed to reach the same threshold. It is an alternative term of Quantitative Real Time Polymerase Chain Reaction	http://purl.obolibrary.org/obo/OBI_0000893
RNA sequencing	Sequencing process which uses ribonucleic acid as input and results in a the creation of RNA sequence information artifact.	http://purl.obolibrary.org/obo/OBI_0001177;http://purl.obolibrary.org/obo/OBI_0001271
Rnase Protection Assay	A laboratory technique to identify individual RNA molecules in a heterogeneous RNA sample extracted from cells.	http://en.wikipedia.org/wiki/RNase_protection_assay
Sequencing	Sequencing is used to discover new sequence variants and to genotype a sample for known variants.	http://purl.obolibrary.org/obo/OBI_0600047
Southern Blot	A Southern blot is a method of capturing DNA molecules that have been seperated by agarose gel electrophoresis for subsequent analysis.	http://purl.obolibrary.org/obo/OBI_0000892
Surface Plasmon Resonance	An assay that uses the detection of electromagnetic waves in a surface to detect material entities adsorbed to the surface, which changes the local index of refraction.	http://purl.obolibrary.org/obo/OBI_0000923
TCID50	50 percent Tissue Culture Infective Dose, (TCID50) is the measure of infectious virus titer. This endpoint dilution assay quantifies the amount of virus required to kill 50% of infected hosts or to produce a cytopathic effect in 50% of inoculated tissue culture cells.	http://en.wikipedia.org/wiki/Virus_Quantification
Virus Neutralization	Block a viral function.	http://purl.obolibrary.org/obo/OBI_0000872
Western Blot	Western blot is a method in molecular biology/biochemistry/immunogenetics to detect protein in a given sample of tissue homogenate or extract. It uses gel electrophoresis to separate denatured proteins by mass. The proteins are then transferred out of the gel and onto a membrane (typically nitrocellulose), where they are probed using antibodies specific to the protein. As a result, researchers can examine the amount of protein in a given sample and compare levels between several groups. Other techniques also using antibodies allow detection of proteins in tissues (immunohistochemistry) and cells (immunocytochemistry). The confirmatory HIV test employs a western blot to detect anti-HIV antibody in a human serum sample. A Western blot is also used as the definitive test for Bovine spongiform encephalopathy (BSE, commonly referred to as 'mad cow disease'). Some forms of Lyme disease testing employ Western blotting.	http://purl.obolibrary.org/obo/OBI_0000854
Whole Genome Sequencing	Laboratory process that determines the complete DNA sequence of an organism's genome at a single time. Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact	http://purl.obolibrary.org/obo/OBI_0002117
Yeast Two Hybrid	Two-hybrid screening is a molecular biology technique used to discover protein-protein interactions by testing for physical interactions (such as binding) between two proteins.	http://purl.obolibrary.org/obo/OBI_0001679
in situ Hybridization	Uses a labelled complementary DNA or RNA strand (i.e., probe) to localize a specific DNA or RNA sequence in a portion or section of tissue (in situ), or the entire tissue (whole mount ISH), in cells and in circulating tumor cells (CTCs).	http://purl.obolibrary.org/obo/NCIT_C17562
Transcription profiling assay	An assay which aims to provide information about gene expression and transcription activity using ribonucleic acids collected from a material entity using a range of techniques and instrument such as DNA sequencers, DNA microarrays, Northern Blot	http://purl.obolibrary.org/obo/OBI_0000424
DNA methylation profiling assay	An assay which aims to provide information about state of methylation of DNA molecules using genomic DNA collected from a material entity using a range of techniques and instrument such as DNA sequencers and often relying on treatment with bisulfites to ensure cytosine conversion.	http://purl.obolibrary.org/obo/OBI_0000634
DNA microarray	Microarray that is used as a physical 2D immobilisation matrix.	http://purl.obolibrary.org/obo/OBI_0400148
Protein microarray	Microarray, usually a piece of glass, on which different molecules of protein have been affixed at separate locations in an ordered manner. These are used to identify protein-protein or protein-small molecule interactions.	http://purl.obolibrary.org/obo/OBI_0400149
SNP microarray	DNA microarray used to detect polymorphisms in DNA samples.	http://purl.obolibrary.org/obo/OBI_0001204
Transcription profiling by array	An assay in which the transcriptome of a biological sample is analyzed using array technology.	http://purl.obolibrary.org/obo/OBI_0001463
Real time polymerase chain reaction assay	A laboratory technique based on the PCR, which is used to amplify and simultaneously quantify a specific DNA molecule based on the use of complementary probes/primers. It enables both detection and quantification (as absolute number of copies or relative amount when normalized to DNA input or additional normalizing genes) of one or more specific sequences in a DNA sample.	http://purl.obolibrary.org/obo/OBI_0000893
microRNA profiling assay	A transcription profiling assay in which aims to quantify the microRNA species within a biological sample.	http://purl.obolibrary.org/obo/OBI_0001926
T cell receptor repertoire sequencing assay	A sequencing assay that determines the sequences of DNA or RNA molecules that encode the repertoire of T cell receptors within an input sample.	http://purl.obolibrary.org/obo/OBI_0002990
B cell receptor repertoire sequencing assay	A sequencing assay that determines the sequences of DNA or RNA molecules that encode the repertoire of B cell receptors within an input sample.	http://purl.obolibrary.org/obo/OBI_0002991
Cell Mediated Immunoassay	Cell Mediated Immunoassay	Cell Mediated Immunoassay
Chemiluminescent Assay	A type of immunoassay in which the antigen-antibody complex is quantified using light emission, which is generated from a chemical reaction.	https://uts.nlm.nih.gov/uts/umls/concept/C0201709
Lateral Flow Assay	A procedure using a paper-based platform for the detection and quantification of analytes in complex mixtures, where the sample is placed on a test device for clinical use.	http://purl.obolibrary.org/obo/MAXO_0000612
Immunohistochemistry	Immunohistochemical staining techniques allow for the visualization of antigens via the sequential application of a specific antibody to the antigen (primary antibody), a secondary antibody to the primary antibody and an enzyme complex with a chromogenic substrate.	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=ncit&ns=ncit&code=C23020
Methylation Sequencing	An assay in which the methylation state of DNA is determined and is compared between samples using sequencing based technology.	http://www.ebi.ac.uk/efo/EFO_0002761
Multiplex Immunoassay	An assay that allows for the simultaneous measurement of multiple analytes in a single sample.	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C179019
Plaque Reduction Neutralization Assay	A serological test that measures the ability of antibodies in specific concentrations of serum to prevent the formation of plaques in a cell monolayer when combined with a viral suspension.	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C172555
Pseudovirus Neutralization Assay	An immunoassay that is used to determine whether antibodies that can block pseudovirus replication are present in a biological specimen.	http://purl.obolibrary.org/obo/NCIT_C172552
Not Specified	Not Specified	Not Specified
Multiplex Bead Array Assay	A type of solid-phase immunoassay that uses distinctly colored microbeads coated with one or more reagents, which may be antigens, antibodies, oligonucleotides, enzyme substrates, or receptors, for the simultaneous detection and measurement of one or many analytes within a single sample.	https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C135455
IgH Sequencing	IgH Sequencing	IgH Sequencing
SARS-CoV-2 Virus Sequencing	SARS-CoV-2 Virus Sequencing	SARS-CoV-2 Virus Sequencing
scRNA-seq	single-cell RNA sequencing assay. An RNA sequencing assay that uses RNA extracts as input that can be traced to a single cell of origin.	http://purl.obolibrary.org/obo/OBI_0002631
GC_MS	Gas Chromatography-Mass Spectrometry. A microanalytical technique combining mass spectrometry and gas chromatography for the qualitative as well as quantitative determinations of compounds.(MSH)	UMLS Metathesaurus Browser
MS_MS	Tandem Mass Spectrometry. An analytical technique where mass spectrometry is coupled to mass spectrometry in order to separate, identify, and quantify substances in a sample. (NCI)	UMLS Metathesaurus Browser
Iontrap_MS	Sequential Mass Spectrometry. A mass spectrometry technique that uses an ion trap and Fourier-transform ion-cyclotron resonance (FT-ICR) type instrument to re-fragment the product ions from a mass spec pass. The process can be repeated n times where 'n' represents the number of times the isolation-fragmentation-measurement cycle has been carried out. (NCI)	UMLS Metathesaurus Browser
16S rRNA gene sequencing	An assay that determines taxonomic and community diversity information by sequencing specific genomic regions used as marker of identity or diversity.	http://purl.obolibrary.org/obo/OBI_0001960
phage display binding assay	A binding assay in which a collection of phages expressing a library of different peptides or protein fragnments is used to infect cells, followed by screening for cells that bind a protein of interest, and identifiying the sequence of infecting phages to determine a suitable binding partner.	http://purl.obolibrary.org/obo/OBI_0001476
LC_MS	Liquid Chromatography Mass Spectrometry. An analytical technique wherein liquid chromatography is coupled to mass spectrometry in order to separate, identify, and quantify substances in a sample. (NCI)	UMLS Metathesaurus Browser
Virus Plaque Assay	An assay that is used to determine viral quantity by infecting monolayers of host cells with serially diluted virus, covering the monolayers with an immobilizing overlay after a period of incubation to restrict the spread of the virus to neighboring cells, and counting the resulting visible plaques of infected cells.	http://purl.obolibrary.org/obo/NCIT_C174336
Immune Repertoire Deep Sequencing	DNA sequencing of the full complement of genes associated with T and B cell antigen-specific receptors in an individual, performed with a high number of replications.	http://purl.obolibrary.org/obo/NCIT_C158249
Spectral Flow Cytometry	Spectral flow cytometry is based on many of the fundamental aspects of conventional flow cytometry but has unique optical collection and analytical capabilities. With spectral flow cytometry, the emission spectrum of every fluorescence molecule is captured by a set of detectors across a defined wavelength range. Every molecule's fluorescent spectrum can be recognized, recorded as a spectral signature, and used as reference in multicolor applications.	https://www.thermofisher.com/us/en/home/life-science/cell-analysis/flow-cytometry/flow-cytometry-learning-center/flow-cytometry-resource-library/flow-cytometry-methods/spectral-flow-cytometry-fundamentals.html
CRISPR Screening	Genome-wide Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR) is a genome editing tool also known as CRISPR-Cas9, -Cas13, CPF1, etc. It is used to study the relationship between genotype and phenotype by editing, ablating, or knocking out gene expression on a genome-wide scale and studying the resulting phenotypic alterations. CRISPR edits genes in living cells to evaluate the subsequent down-stream effects and also has therapeutic potential.	http://www.bioassayontology.org/bao#BAO_0010249
Olink assay	A proximity extension assay that uses quantitative polymerase chain reaction (qPCR) technology to determine the concentration/presence of proteins using a high-multiplex, high-throughput protein biomarker platform. The assay utilizes two distinct oligonucleotide-labeled antibodies ( probes ) that bind at different sites for each detected protein. When the two probes are in close proximity, a new PCR target sequence is formed by a proximity-dependent DNA polymerization event. The resulting sequence is subsequently detected and quantified using standard real-time PCR.	http://purl.obolibrary.org/obo/OBI_0003112
SOMAscan assay	An analyte assay that uses aptamers to detect protein analytes in serum.	http://purl.obolibrary.org/obo/OBI_0003111
Nanostring nCounter miRNA expression assay	A microRNA profiling assay using digital molecular barcoding technology to quantify target microRNA molecules without the need for amplification	http://purl.obolibrary.org/obo/OBI_0002142
Transcription Profiling by NanoString	The NanoString nCounter gene expression system uses multiplexed probe hybridization to capture and count individual mRNA transcripts. Transcripts for each gene are targeted by a pair of gene-specific probes - a biotinylated capture probe to capture the transcript on a streptavidin-coated slide, and a reporter probe containing a color-coded pattern of fluorescent segments. Imaging of the slide can then identify each captured transcript. PMID:18278033]	http://www.ebi.ac.uk/efo/EFO_0030058
10x feature barcode (CRISPR screening)	The use of 10x Genomics feature barcode technology with the purpose of performing a CRISPR screening.	http://www.ebi.ac.uk/efo/EFO_0030013
Single-Molecule Array (SIMOA)	A type of enzyme-linked immunoassay in which single molecules can be detected through the use of femtomolar-sized reaction chambers and an excess of fluorescently labeled antibody-bound beads. (NCI)	https://uts.nlm.nih.gov/uts/umls/concept/C5205784
Whole Virome Sequencing Assay	A whole metagenome sequencing assay that intends to provide information on multiple genome sequences from different viruses present in the same input sample.	http://purl.obolibrary.org/obo/OBI_0002768
Intracellular Cytokine Stain Flow Cytometric Assay	A technique that is used with flow cytometry to measure cytokine production in isolated cells. Cells are stimulated with an antigen or mitogen, and cytokine secretion is blocked using protein transport inhibitors. The cells are then stained with fluorochrome labeled monoclonal antibodies that target surface markers, fixed and permeabilized, and stained with fluorochrome labeled anti-cytokine monoclonal antibodies prior to analysis by flow cytometry. (NCI)	http://purl.obolibrary.org/obo/NCIT_C178026
Histological Assay	An assay that uses visual examination of cells or tissue (or images of them) to make an assessment regarding a quality of the cells or tissue. This assay can include steps of staining, imaging, and judgement.	http://purl.obolibrary.org/obo/OBI_0600020
Cytokine Assay	An analyte assay to study presence, concentration, or amount of cytokines.	http://purl.obolibrary.org/obo/OBI_0002766
Genotyping Assay	An assay which generates data about a genotype from a specimen of genomic DNA. A variety of techniques and instruments can be used to produce information about sequence variation at particular genomic positions. alternative term: SNP analysis; genotype profiling	http://purl.obolibrary.org/obo/OBI_0000435
